business name,address,longitude,latitude,state,city,zip_code,ranking,rating,web_url,reviews_count,license type,type,intro_body,retailer_services
Empire Twin Palms,9806 Mission Blvd,-117.498986,34.011321,California,Mira Loma,92509,4.89579249604401,4.91629716063788,https://weedmaps.com/dispensaries/ameripro,2571,recreational,dispensary,"<p>Grand Opening on 9/20/2019!</p> <p>Empire Twin Palms is the First Licensed Dispensary in Jurupa Valley, Riverside CA. Here at Empire, it is our mission  to provide a wide range of high-quality CBD and THC products that includes concentrates, flowers, edibles, tinctures, topicals, balms, and more. Anyone looking for a safe marijuana store in the Inland Empire will find what they need here at Empire Twin Palms with the help of our knowledgeable cannabis specialists.</p> <p>Coming Soon!!!</p>",storefront
Grande Vista 15 CAP,1462 South Grande Vista Ave,-118.20998,34.01828,California,Los Angeles,90023,4.84655118524448,4.87412721186035,https://weedmaps.com/dispensaries/grande-vista-20-cap,2091,medical,dispensary,"<p>***</p> <p>Welcome to Grande Vista 15 CAP; Home of the $15 1/8th! Come check us out for exclusive deals and fire BUD!!</p> <p>*FTP deals</p> <p>*Open late</p> <p>*Lot and street parking </p> <p>*Free joint, jolly or dab with donation of $15 or more</p> <p>*Stamp cards (Recieve FREE gram of Private Reserve!)</p> <p>*Refer a friend and get First Time Patient Deal too!</p> <p>****</p> <p>FIRST TIME PATIENT DEALS!!</p> <p>5G TOP SHELF $20</p> <p>5G PRIVATE RESERVE $25</p> <p>5G EXCLUSIVE $30</p> <p>5G VIP $35</p> <p>5G MVP $45</p> <p>5G CONNOISSEUR $50</p> <p>$2 OFF ANY CONCENTRATE</p> <p>10% OFF EDIBLES</p> <p>$5 OFF ANY CARTRIDGE  </p> <p>********* </p> <p>$100 OZ EVERYDAY!</p> <p>(LAST CALL FOR FIRST TIME PATIENTS IS 11:30PM)</p>",storefront
Univerde One Love,20812 E. Arrow Hwy.,-117.847207,34.105774,California,Covina,91724,4.842645734780316,4.86218328202699,https://weedmaps.com/dispensaries/univerde,4223,medical,dispensary,"<p>Now hiring budtenders, please send 3 recent pictures and resume to univerdehealing@gmail.com if you are reliable and hard working!</p> <p>New location in the same pavilion as Big Lots</p> <p>Come and see why we are a TOP 5 spot in all of California!! </p> <p>All of our flower is 100% Organic indoor - come see the difference in color, smell and taste!</p> <p>Happy Hour Daily 10am-5pm! 2 for $90 Brass Knuckles!</p> <p>2 for $90 Stiiizys!</p> <p>2 for $100 Plug and Plays!</p> <p>Free Preroll w/ Every Quarter Donation! </p> <p>Now hiring budtenders, please send 2 pictures and resume to univerdehealing@gmail.com if you are reliable and hard working!</p> <p>🍬🍬🍬Munchie Mondays - 2 for $25 donation edibles</p> <p> </p> <p>Topical Tuesdays: $5 Off Donation All Topicals</p> <p>💨💨💨 Wax Wednesdays: $5 Off Donation ALL Wax grams Including Full Gram Carts!</p> <p>🍹🍹🍹Thirsty Thursdays: 10% Off Donation All Drinks</p> <p>💰💰💰$5 Gram Friday: $5 Donation Gram of the Day</p> <p>🛍️🛍️🛍️ Saturday and Sunday: $250 Donation All Top Shelf Ounces! </p>",storefront
Venice Medical Center,9636 Venice Blvd,-118.396509,34.024321,California,Culver City,90232,4.82304009783135,4.83352735739232,https://weedmaps.com/dispensaries/culver-medical-center,1718,hybrid,dispensary,"<p> Voted #1 Collective in West Los Angeles !</p> <p>Happy Hour:</p> <p>- 4 Gram 8ths 8AM-10AM Everyday</p> <p>- 15% OFF ALL Concentrates 8AM-10AM </p> <p>Chemdog 5 Grams for 35</p> <p>Krypto OG 5 Grams for 45</p> <p>DAILY DEALS 7 Days a Week !</p> <p>Mondays 20% OFF ALL Edibles</p> <p>Tuesday 15% OFF ALL Wax</p> <p>Wednesday 20% OFF ALL CBD Products</p> <p>Thursday 20% OFF ALL Beverages</p> <p>Friday 4 Gram 8ths ALL Day</p> <p>Saturday 15% OFF Crown Extracts</p> <p>Sunday 10% OFF ALL Vape & solventless products </p> <p>Shatter Full Gram at 30/G</p> <p>Buy One Get 2nd Vape Half Off On King Pens</p> <p>**Bring Undamaged NEXUS SAUCE PEN Packaging & Get $5 Off Your Next Sauce Pen Purchase</p> <p>CBD Living Produts are available !</p> <p>Patients are required to bring a valid state ID/rec</p> <p>All Prices include All Taxes.</p> <p>Venice Medical Center is a Patient-oriented medical marijuana dispensary that bring a boutique selection of Medicine From Flowers, Concentrates, edibles, vape products and topicals to West LA. Our expert members are available to answer your questions, offer recommendations and help you find the best solution of Medicine to choose from. We Carry Award Winning Concentrate Brands. Connoisseur Selection All across the Board.</p> <p>Located .2 Miles Away From In-N-Out Located on venice Blvd. Next Door to Cell Phone Store and Cosmetic Buidlings</p>",storefront
NACCC,1719 Pacific Coast Highway,-118.308412,33.789777,California,Lomita,90717,4.807907796525864,4.81630144307856,https://weedmaps.com/dispensaries/new-age-compassion-care,3742,hybrid,dispensary,"<p>Welcome to NACCC!</p> <p>SE HABLA ESPANOL!</p> <p>LGBT-friendly!</p> <p>Sign language friendly!</p> <p>We offer the BEST QUALITY and TOP TESTED meds in the industry!</p> <p>Menu tickets are for 3.5g 1/8th's! We are in strict compliance with Prop. 215, SB 420, and Measure D. We are committed to offering the highest quality meds at a compassionate donation.</p> <p>-<strong>Please Note: Our menu lists our donations WITHOUT Happy Hour discounts. You'll save even more!</strong></p> <p><strong>-ALL TAXES ARE INCLUDED IN PRICES</strong></p>",storefront
UNDEFEATED 25,1136 East Green Street,-118.126922,34.144443,California,Pasadena,91106,4.792382170693585,4.81732002851034,https://weedmaps.com/dispensaries/dannk-city,2806,medical,dispensary,<p><strong>NOW HIRING! Please email a picture of yourself and resume to our email (:</strong></p> <p> </p> <p><strong>HELLO AND WELCOME TO UNDEFEATED !</strong></p> <p> </p> <p><strong>**WE ARE NOW TAKING PHONE ORDERS **</strong></p> <p> </p> <p> </p> <p> WE ARE NOW TAKING TEXT ORDERS! THATS RIGHT PRE-ORDER BEFORE YOU COME IN SO YOU DONT HAVE TO WAIT IN LINE! </p> <p> </p> <p>FROM 10 A.M - 10 P.M YOU CAN:</p> <p> </p> <p>TEXT NAME WITH YOUR ORDER TO (626) 638 - 5478 ! IF WE DONT HAVE A CERTAIN ORDERED PRODUCT IN STOCK WE WILL GIVE YOU A CALL RIGHT BACK! :)</p> <p> </p> <p>- ORDERS MUST BE PICKED UP WITHIN AN HOUR BEFORE BEING PUT BACK ! </p> <p> </p> <p>- YOU CANNOT ADD OR CHANGE AFTER PLACING AN ORDER! YOU WILL HAVE TO GET BACK IN LINE TO ADD OR CHANGE *DISCLAIMER*</p> <p> </p> <p>-ORDERS MAY TAKE 10-15 MINUTES TO COMPLETE TO PERFECTION :)</p> <p> </p> <p>WE WILL REPLY ONCE YOUR ORDER HAS BEEN CONFIRMED ~ YOU WILL RECEIVE A RED TICKET TO LET YOUR TENDER KNOW YOU PLACED A PHONE ORDER ~ </p> <p> </p> <p> </p> <p> </p>,storefront
OG Maywood,6142 Walker Ave,-118.172585,33.980571,California,Maywood,90270,4.79222729663358,4.82786885245902,https://weedmaps.com/dispensaries/og-dispensary,854,hybrid,dispensary,"<p><strong>WELCOME TO OG MAYWOOD!</strong></p> <p>⏰🐦<strong>EARLY BIRD SPECIAL🐦</strong><strong>⏰</strong></p> <p><strong>SUNDAY-THURSDAY 7-11AM IN-STORE ONLY</strong></p> <p><strong>*PREROLL FOR $.01 WITH A PURCHASE OF $40 OR MORE*</strong></p> <p> </p> <p> </p> <p>OG Maywood provides a first-class cannabis shopping experience to both 21+ adult use and medical cannabis consumers. We have the best deals with excellent service and a carefully curated selection of award-winning products in a sleek and hip retail setting.</p> <p> </p> <p>Come experience the future of cannabis retail today in a clean, modern, and welcoming environment.</p> <p>ATM AVAILABLE </p> <p> </p> <p>Place delivery orders through our website </p> <p>WWW.OGMAYWOOD.COM</p> <p> </p> <p> </p>",storefront
EXHALE MED CENTER,980 North La Cienega #102,-118.376318,34.088813,,Los Angeles,90069,4.79122773351131,4.8109090909091,https://weedmaps.com/dispensaries/exhale-med-center,1760,hybrid,dispensary,,storefront
High Season - DTLA,2222 East Olympic Blvd.,-118.23261,34.02589,California,Los Angeles,90021,4.777702181535833,4.82387806943268,https://weedmaps.com/dispensaries/arts-district-cannabis-center,1181,hybrid,dispensary,<p>18-20 YEARS OLD MUST HAVE VALID STATE ID OR PASSPORT AND A MEDICAL REC. </p> <p>21+ MUST HAVE VALID STATE ID OR PASSPORT </p> <p>MUST BRING MEDICAL REC EVERYTIME IF PLANNING ON PURCHASING MORE THAN 1 OZ OF FLOWER!</p> <p>ONLINE ORDERING AVAILABLE AT shophighseason.com !!</p> <p>SORRY WE DO NOT DELIVER!</p> <p> </p> <p> </p> <p>WE NOW CHARGE 20% CITY & STATE TAX TO BASE PRICES LISTED. TAXES ARE NO LONGER INCLUDED. SORRY FOR THE INCONVIENCE THIS MAY CAUSE. </p> <p> </p> <p> </p> <p>LAST CALL 9:45PM</p>,storefront
Weedmart 30 Cap,4430 Live Oak Ave,-118.006864,34.11051,California,Arcadia,91006,4.76746178166978,4.7976833976834,https://weedmaps.com/dispensaries/weedmart-30-cap,2331,medical,dispensary,<p><strong>~~~$30 Cap Shop!~~~</strong></p> <p>TOP SHELF $30</p> <p>VIP SHELF $35</p> <p>CONNOISSEUR SHELF $40</p> <p>*refer a friend to receive a free g of TSS! (only if referral buys FTP deal)*</p>,storefront
8th Wellness,13065 Valley Blvd.,-118.000433,34.052183,California,City of Industry,91746,4.736517865365387,4.82849604221636,https://weedmaps.com/dispensaries/8th-wellness,379,medical,dispensary,"<p>PATIENT APPRECIATION DAY hosted by STNDRD 9/13 4-6PM! </p> <p><strong>Monthly Raffle!! </strong></p> <p><strong>Follow us on Instagram lp8thwellness and Snapchat Eighthwellness to see drawing.</strong></p> <p><strong>5G Eighths All Day Everyday!!!</strong></p> <p>LOOK FOR THE GREY BUILDING WITH A BIG ""<strong>8</strong>"" PAINTED ON OUR WALL, LOCATED NEXT TO <strong>SATIN</strong> TOPLESS AND <strong>LOPEZ AUTO SALES</strong>.</p> <p>WE HAVE A <strong>PRIVATE PARKING LOT</strong> IN THE <strong>BACK OF THE BUILDING</strong> FOR OUR CUSTOMERS.</p> <p><strong>FTP : FREE HOUSE TOP SHELF PREROLL & LIGHTER</strong></p> <p> </p> <p>MOONROCK MONDAYS - DONATE FOR 1, GET 1 50% OFF ON ALL MOONROCKS</p> <p> </p> <p>CART TUESDAYS - DONATE FOR 2 G CARTRIDGES , GET A FREE BRASS KNUCKLES BATTERY *can mix & match*</p> <p> </p> <p>WAX WEDNESDAYS - $5 OFF ALL WAX</p> <p> </p> <p>MUNCHIE THURSDAYS - DONATE FOR 1, GET 1 50% OFF ON ALL EDIBLES</p> <p> </p> <p>SQRL FRIDAY - DONATE FOR 2G SQRL PODS, GET A FREE SQRL BATTERY </p> <p> </p> <p>STIIIZY SATURDAY - 2 G FOR $85 (can mix & match full g/half g pods)</p> <p> </p> <p>PICK YOUR DEAL SUNDAY - PICK ONE OF THE DAILY DEALS</p> <p> </p> <p><strong>LOYALTY CARDS FOR RETURNING!!! GET A STAMP FOR EVERY $20 DONATION!</strong></p> <p> </p> <p>REFERRAL : BRING A FRIEND/FAMILY MEMBER, YOU WILL GET A HOUSE TOP SHELF PREROLL FOR THE REFERRAL!! *both need to be here at same time*</p> <p> </p>",storefront
